id,username,time_created,tweet,retweet_count,location_user,place_tweet
593,IndiaToday,2019-01-16 22:48:51+05:30,Is Mehbooba Mufti desperately trying to get Jammu and Kashmir back? She has also been alleged of double speak. Watch the debate of #IndiaFirst with @gauravcsawant:  https://t.co/w94Jvsm7B4 https://t.co/nHWwaojhUo,3,India,
594,dna,2019-01-16 22:47:50+05:30,"Jharkhand: Cobra jawan injured in gunbattle with maoists

https://t.co/jAokXCzxXr",2,India,
595,jeremyphoward,2019-01-16 22:47:39+05:30,"Really proud to share ""What is torch.nn, really?"", which takes you from a neural net written from scratch, refactored step by step using all the key concepts in `torch.nn`.

If you want to really understand how neural nets work in @PyTorch, start here!
https://t.co/qJgsZPQnTL",25,San Francisco,
596,dna,2019-01-16 22:47:28+05:30,"#ProWrestlingLeague: Haryana Hammers defeat UP Dangal 5-2

https://t.co/ezzHCnZhAT",0,India,
597,ndtv,2019-01-16 22:46:53+05:30,".@LRC_NDTV | Kotler award for PM sparks row

Watch full show: https://t.co/Zmtogs5Ovl https://t.co/hWV3504OsQ",11,India,
598,htTweets,2019-01-16 22:45:39+05:30,".@AmitShah suffering from swine flu, admitted to AIIMS
https://t.co/tG2haXMgqZ",7,India,
599,IndiaToday,2019-01-16 22:45:36+05:30,"#RamMandirRumble
Congress is a big obstacle in the construction of Ram temple: @IndreshRSS 
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/EKfjqeBPkD",4,India,
600,ZeeNews,2019-01-16 22:45:35+05:30,"WATCH - #DNA analysis of the poor education system of India

@sudhirchaudhary https://t.co/dA3boBhRDF",25,India,
601,htTweets,2019-01-16 22:45:00+05:30,"Amrapali flats booked for meagre sum of Re 1 per sq ft: Auditors to Supreme Court
https://t.co/gyGw6jsyxP https://t.co/vRDgbPB77C",1,India,
602,jeremyphoward,2019-01-16 22:43:31+05:30,"RT @halhod: there is no universe, not even the US of A, in which @Airbnb is right about this. looking forward to crow-eating any minute now…",4,San Francisco,
603,premierleague,2019-01-16 22:43:18+05:30,"9️⃣3️⃣

@OfficialBHAFC's @ShaneDuffy is the man with the most headed clearances in the #PL this season!

Did you guess correctly? https://t.co/0MQNfkT8Sk",28,"",
